"","site","density_category","microsite","phylum","captures","n","rate"
"1",3,"HD","open","invertebrate",7,3,233.333333333333
"2",3,"HD","open","vertebrate",2,2,100
"3",3,"HD","shrub","invertebrate",106,28,378.571428571429
"4",3,"HD","shrub","vertebrate",82,49,167.34693877551
"5",3,"LD","open","invertebrate",17,12,141.666666666667
"6",3,"LD","open","vertebrate",244,58,420.689655172414
"7",3,"LD","shrub","invertebrate",46,18,255.555555555556
"8",3,"LD","shrub","vertebrate",26,16,162.5
"9",3,"MD","open","invertebrate",12,11,109.090909090909
"10",3,"MD","open","vertebrate",66,29,227.586206896552
"11",3,"MD","shrub","invertebrate",92,22,418.181818181818
"12",3,"MD","shrub","vertebrate",121,50,242
"13",3,"ND","open","invertebrate",36,16,225
"14",3,"ND","open","vertebrate",143,45,317.777777777778
"15",3,"ND","shrub","invertebrate",37,10,370
"16",3,"ND","shrub","vertebrate",3,3,100
"17",4,"HD","open","invertebrate",13,9,144.444444444444
"18",4,"HD","shrub","invertebrate",57,19,300
"19",4,"HD","shrub","vertebrate",218,78,279.487179487179
"20",4,"LD","open","invertebrate",29,14,207.142857142857
"21",4,"LD","open","vertebrate",204,27,755.555555555556
"22",4,"LD","shrub","invertebrate",45,13,346.153846153846
"23",4,"LD","shrub","vertebrate",37,23,160.869565217391
"24",4,"MD","open","invertebrate",27,17,158.823529411765
"25",4,"MD","open","vertebrate",172,55,312.727272727273
"26",4,"MD","shrub","invertebrate",66,19,347.368421052632
"27",4,"MD","shrub","vertebrate",151,45,335.555555555556
"28",4,"MD",NA,"invertebrate",1,1,100
"29",4,"ND","open","invertebrate",72,22,327.272727272727
"30",4,"ND","open","vertebrate",130,67,194.029850746269
"31",4,"ND","shrub","invertebrate",4,4,100
